rms,peak_to_peak,crest_factor,form_factor,mean_amp,std_amp,kurtosis,skewness,energy,mean_square,spectral_centroid,spectral_entropy,label
1.5883190041408415,6.2657,3.220322859227164,1.6134170790643578,0.002846419166316658,1.5883164536114593,7.261583023708181,2.492279821541715,630686.7919714797,2.5227572589149543,0.09193272600317667,3.9319514549164065,0.5mm
1.5959028255786532,6.2013,3.174817360817733,1.598939110814535,-0.0025381390097560397,1.5959008072371845,7.167792000177848,2.473663439737743,636723.9102666535,2.546905828689929,0.10046021187058893,3.7286124879978533,0.5mm
1.6090414384741538,6.2193,3.1584643349277974,1.5896841028625406,0.0006832558245033007,1.6090412934068696,7.004003041714638,2.4406973669318144,647250.9986673929,2.5890143507269743,0.10757764609642108,3.0871664938140597,0.5mm
1.615607419998647,6.3416,3.15355075359255,1.5806937148166,-0.0014718882199528784,1.6156067495216004,6.924688650202528,2.4245883444475527,652544.2237013355,2.6101873355546843,0.1028676103180181,3.721982720062908,0.5mm
1.6233930598698234,6.2808,3.1330058767621183,1.5730981252073135,-0.0013054784627138508,1.623392534958656,6.829560908033583,2.405194974842568,658848.6213033502,2.6354050268335083,0.11372354380623595,3.3385211013668092,0.5mm
1.6340106893323376,6.3228,3.1067728198078695,1.5674944508338802,0.0028739107648030676,1.6340081620020315,6.702553206774454,2.3789290772731078,667495.0632221525,2.6699909328523415,0.11540028542190481,3.3293257737516093,0.5mm
1.6436612657383451,6.3245,3.061518879729774,1.5552819764124628,0.00026714816259264257,1.643661244028233,6.590778840089247,2.3556803618807014,675402.8874997883,2.701622356488579,0.1166814429890908,2.7767317285939286,0.5mm
1.6431337924456344,6.4352,3.0832547052521093,1.5507198566856801,-0.004179928030792118,1.643128475828482,6.596823435204168,2.3568572450489915,674969.4650805334,2.6998886598767733,0.11585731374750088,3.370881723627527,0.5mm
1.6549555056500922,6.3381,3.041592344793035,1.5463545955799147,0.001883845741902967,1.6549544334533126,6.461070192598555,2.3280821746608673,684716.6925426625,2.7388777256815526,0.11464638952789905,3.417602564396054,0.5mm
1.6658941750269796,6.2879000000000005,3.0068536597842552,1.538316623828913,0.003865296929987721,1.6658896907864174,6.3396398510174725,2.302211976653495,693798.0753938028,2.775203402388821,0.11564657416738112,3.3525180933702154,0.5mm
1.6685182072695555,6.2336,3.0158496173792195,1.5332249668263163,0.001533619411477649,1.668517502455851,6.311172379077079,2.2960986880783465,695985.4680444949,2.783953007990011,0.12206530521390534,3.2692531690913786,0.5mm
1.6729332387255262,6.3338,3.019965100836242,1.5281095267226974,0.0005172899711198853,1.6729331587495548,6.261605267629769,2.285257810463129,699673.6066025484,2.7987056212326786,0.1267219882875243,2.6008823450113665,0.5mm
1.6765151016198245,6.3238,2.9902504261166922,1.5239686615137789,-0.00011970382161528007,1.676515097346375,6.220661769255498,2.2763882889592923,702672.9107869468,2.810702885959331,0.12490481979609983,2.822048744205543,0.5mm
1.6770243732826486,6.3367,2.982604234443268,1.521428980246951,-0.0021178068196272804,1.6770230360607266,6.215243127375125,2.2751643317625203,703099.8747352667,2.812410748584061,0.12210313963721536,3.301648708087581,0.5mm
1.6836983379264838,6.3553999999999995,2.9844419774173123,1.5170665754486221,-0.0003557782575130309,1.683698300337159,6.1423584883755025,2.2592682181745642,708707.1884440079,2.834840093136404,0.12538487608046067,3.0268365556772694,0.5mm
1.6914865875063279,6.3781,2.9566300046258336,1.513218653324545,0.0028110756175024685,1.6914842516463682,6.059252456503167,2.2408552634750283,715278.8578015749,2.8611268757138024,0.12256981587305564,3.3514581098734277,0.5mm
1.702001401434774,6.2658000000000005,2.9296098069408534,1.504385362026465,0.0035457501430005826,1.7019977080307296,5.948029464964533,2.216130415465279,724199.2958127132,2.8968087704859347,0.12528679773869655,3.287808210945327,0.5mm
